weak_Topall,E_POC_W_rank,E_POC_rank,label
rnpA,18,1605,E_POC_W-TP
csrA,26,230,E_POC_W-TP
rne,36,243,E_POC_W-TP
rplX,40,144,E_POC_W-TP
rpmB,50,196,E_POC_W-TP
nusG,55,206,E_POC_W-TP
rplO,75,140,E_POC_W-TP
gyrA,79,180,E_POC_W-TP
rpsA,81,342,E_POC_W-TP
rplP,86,123,E_POC_W-TP
dnaA,97,1339,E_POC_W-TP
tpiA,106,51,E_POC-FP
ydfG,109,68,E_POC-FP
gltA,110,57,E_POC-FP
gabD,113,60,E_POC-FP
clpP,115,81,E_POC-FP
gcvP,117,64,E_POC-FP
rlmF,119,99,E_POC-FP
sucA,133,62,E_POC-FP
alaS,137,63,E_POC-FP
iscU,140,69,E_POC-FP
mutS,147,70,E_POC-FP
sdhB,149,85,E_POC-FP
rpe,150,78,E_POC-FP
dnaK,155,76,E_POC-FP
hinT,157,77,E_POC-FP
purA,158,79,E_POC-FP
qmcA,159,84,E_POC-FP
atpG,166,89,E_POC-FP
cysJ,167,88,E_POC-FP
sucD,172,91,E_POC-FP
recQ,175,94,E_POC-FP
