weak_Topall,PeC_W_rank,PeC_rank,label
YOR272W,17,101,PeC_W-TP
YDL014W,36,105,PeC_W-TP
YHR052W,39,107,PeC_W-TP
YOR294W,43,109,PeC_W-TP
YHR170W,47,141,PeC_W-TP
YLR009W,57,204,PeC_W-TP
YNL061W,59,111,PeC_W-TP
YNL075W,61,192,PeC_W-TP
YLR186W,62,142,PeC_W-TP
YGR245C,63,161,PeC_W-TP
YGL111W,64,158,PeC_W-TP
YDL060W,65,120,PeC_W-TP
YMR049C,66,123,PeC_W-TP
YLR129W,67,147,PeC_W-TP
YDR091C,68,114,PeC_W-TP
YMR093W,69,166,PeC_W-TP
YCL054W,70,126,PeC_W-TP
YKL172W,71,137,PeC_W-TP
YHR148W,72,167,PeC_W-TP
YBR247C,73,157,PeC_W-TP
YDR365C,74,104,PeC_W-TP
YPL043W,75,135,PeC_W-TP
YOR145C,76,175,PeC_W-TP
YCR057C,77,199,PeC_W-TP
YLL011W,78,185,PeC_W-TP
YPL093W,79,144,PeC_W-TP
YNR054C,80,151,PeC_W-TP
YGR145W,81,116,PeC_W-TP
YGR159C,82,125,PeC_W-TP
YPR144C,84,176,PeC_W-TP
YJL109C,85,193,PeC_W-TP
YOR361C,86,134,PeC_W-TP
YNR053C,87,148,PeC_W-TP
YPL012W,88,130,PeC_W-TP
YJR002W,89,150,PeC_W-TP
YMR128W,90,113,PeC_W-TP
YPL217C,92,174,PeC_W-TP
YER127W,93,187,PeC_W-TP
YPL126W,94,173,PeC_W-TP
YHR088W,95,184,PeC_W-TP
YDR299W,96,117,PeC_W-TP
YDL148C,98,171,PeC_W-TP
YOR234C,108,42,PeC-FP
YPL090C,110,19,PeC-FP
YLL045C,112,21,PeC-FP
YLR441C,113,34,PeC-FP
YML026C,121,12,PeC-FP
YHL001W,128,27,PeC-FP
YER074W,129,23,PeC-FP
YJR145C,130,62,PeC-FP
YGR118W,131,18,PeC-FP
YLR448W,132,39,PeC-FP
YPL220W,138,90,PeC-FP
YGR214W,140,16,PeC-FP
YBR048W,141,51,PeC-FP
YJL177W,143,31,PeC-FP
YML024W,144,52,PeC-FP
YDR471W,146,40,PeC-FP
YNL301C,147,28,PeC-FP
YMR142C,154,53,PeC-FP
YCR031C,155,44,PeC-FP
YNL302C,159,32,PeC-FP
YMR143W,160,20,PeC-FP
YHL033C,161,82,PeC-FP
YMR230W,164,35,PeC-FP
YML073C,170,10,PeC-FP
YLR406C,172,25,PeC-FP
YPR102C,176,85,PeC-FP
YER151C,181,100,PeC-FP
YBR191W,186,37,PeC-FP
YPL081W,193,89,PeC-FP
YGL031C,221,88,PeC-FP
YAL005C,251,2,PeC-FP
YLR287C-A,280,86,PeC-FP
YPL106C,289,3,PeC-FP
YNL067W,323,24,PeC-FP
YNL064C,352,7,PeC-FP
YPR080W,354,81,PeC-FP
YDR171W,627,17,PeC-FP
YBL032W,1067,6,PeC-FP
YGR252W,1104,57,PeC-FP
